descricao;endereco;area;quartos;suites;wc;garagem;valor;condominio;wlink
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-jardim-botanico-bairros-uberlandia-com-garagem-210m2-venda-RS1240000-id-2535032976/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-morada-da-colina-bairros-uberlandia-com-garagem-432m2-venda-RS1800000-id-2503675387/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-jardim-inconfidencia-bairros-uberlandia-com-garagem-113m2-venda-RS540000-id-2538640679/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-condominio-village-karaiba-bairros-uberlandia-com-garagem-192m2-venda-RS1160000-id-2536985806/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-granja-marileusa-bairros-uberlandia-com-garagem-318m2-venda-RS2920000-id-2538746998/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-laranjeiras-bairros-uberlandia-com-garagem-80m2-venda-RS668000-id-2537992536/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-nova-uberlandia-bairros-uberlandia-com-garagem-288m2-venda-RS2800000-id-2538639308/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-granja-marileusa-bairros-uberlandia-com-garagem-350m2-venda-RS3200000-id-2539667913/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-laranjeiras-bairros-uberlandia-com-garagem-132m2-venda-RS700000-id-2535453740/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-nova-uberlandia-bairros-uberlandia-com-garagem-290m2-venda-RS2800000-id-2539264370/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-nova-uberlandia-bairros-uberlandia-com-garagem-601m2-venda-RS6000000-id-2538984446/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-varanda-sul-bairros-uberlandia-com-garagem-214m2-venda-RS1120000-id-2537223484/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-nova-uberlandia-bairros-uberlandia-com-garagem-288m2-venda-RS2800000-id-2539535664/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-splendido-bairros-uberlandia-com-garagem-208m2-venda-RS1300000-id-2537983636/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-condominio-cyrela-landscape-bairros-uberlandia-com-garagem-228m2-venda-RS2100000-id-2537431014/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-gavea-bairros-uberlandia-com-garagem-254m2-venda-RS1800000-id-2538901187/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-jardim-sul-bairros-uberlandia-com-garagem-341m2-venda-RS2730000-id-2533330884/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-laranjeiras-bairros-uberlandia-com-garagem-243m2-venda-RS1600000-id-2535862196/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-morada-da-colina-bairros-uberlandia-com-garagem-407m2-venda-RS3500000-id-2537078195/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-splendido-bairros-uberlandia-com-garagem-205m2-venda-RS1300000-id-2537565083/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-gavea-sul-bairros-uberlandia-com-garagem-202m2-venda-RS1290000-id-2538901170/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-condominio-terra-nova-bairros-uberlandia-com-garagem-100m2-venda-RS350000-id-2536393513/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-cidade-jardim-bairros-uberlandia-com-garagem-601m2-venda-RS6000000-id-2539170343/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-jardins-genova-bairros-uberlandia-com-garagem-288m2-venda-RS2800000-id-2535739814/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-jardim-botanico-bairros-uberlandia-com-garagem-204m2-venda-RS1300000-id-2531015384/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-morada-da-colina-bairros-uberlandia-com-garagem-700m2-venda-RS6000000-id-2537540700/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-condominio-cyrela-landscape-bairros-uberlandia-com-garagem-289m2-venda-RS2600000-id-2535845796/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-granja-marileusa-bairros-uberlandia-com-garagem-220m2-venda-RS1190000-id-2536999409/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-condominio-cyrela-landscape-bairros-uberlandia-com-garagem-280m2-venda-RS2500000-id-2536400216/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-nova-uberlandia-bairros-uberlandia-com-garagem-336m2-venda-RS2000000-id-2538236697/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-reserva-do-vale-bairros-uberlandia-com-garagem-307m2-venda-RS3000000-id-2536400210/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-gavea-bairros-uberlandia-com-garagem-154m2-venda-RS600000-id-2537562976/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-morada-do-sol-bairros-uberlandia-com-garagem-270m2-venda-RS1500000-id-2537994074/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-centro-bairros-uberlandia-com-garagem-260m2-venda-RS850000-id-2539162835/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-shopping-park-bairros-uberlandia-com-garagem-224m2-venda-RS1530000-id-2538640102/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-nova-uberlandia-bairros-uberlandia-com-garagem-370m2-venda-RS3000000-id-2538454653/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-jardim-botanico-bairros-uberlandia-com-garagem-209m2-venda-RS1289990-id-2538213183/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-jardim-sul-bairros-uberlandia-com-garagem-341m2-venda-RS2750000-id-2538568283/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-granja-marileusa-bairros-uberlandia-com-garagem-176m2-venda-RS980000-id-2519022683/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aclimacao-bairros-uberlandia-com-garagem-542m2-venda-RS2800000-id-2526447885/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-nova-uberlandia-bairros-uberlandia-com-garagem-290m2-venda-RS2000000-id-2538073190/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-varanda-sul-bairros-uberlandia-com-garagem-216m2-venda-RS1300000-id-2537001374/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-jardins-roma-bairros-uberlandia-com-garagem-222m2-venda-RS1490000-id-2539362197/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-condominio-cyrela-landscape-bairros-uberlandia-com-garagem-226m2-venda-RS2000000-id-2536405611/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-jardim-europa-bairros-uberlandia-com-garagem-442m2-venda-RS3950000-id-2539271800/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-granja-marileusa-bairros-uberlandia-com-garagem-452m2-venda-RS1670000-id-2516979475/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-novo-mundo-bairros-uberlandia-com-garagem-200m2-venda-RS1250000-id-2537004488/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-tubalina-bairros-uberlandia-com-garagem-162m2-venda-RS390000-id-2538541193/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-novo-mundo-bairros-uberlandia-com-garagem-205m2-venda-RS1250000-id-2539678112/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-morada-da-colina-bairros-uberlandia-com-garagem-100m2-venda-RS350000-id-2539272677/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-shopping-park-bairros-uberlandia-com-garagem-180m2-venda-RS999000-id-2537410907/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-shopping-park-bairros-uberlandia-com-garagem-210m2-venda-RS1500000-id-2538906997/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aclimacao-bairros-uberlandia-com-garagem-365m2-venda-RS2200000-id-2537488212/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-6-quartos-area-rural-de-uberlandia-bairros-uberlandia-com-garagem-400m2-venda-RS3700000-id-2538115635/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-jardim-sul-bairros-uberlandia-com-garagem-220m2-venda-RS2000000-id-2537019454/
-;-;-;-;-;-;-;-;-;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-jardim-california-bairros-uberlandia-com-garagem-130m2-venda-RS535000-id-2534770945/
